iter	RMSE
0	108.9606009
1	105.7694185
2	102.752167
3	99.99069518
4	97.47318357
5	95.08854474
6	92.99085016
7	90.90897485
8	89.06135532
9	87.38849299
10	85.76242259
11	84.28668108
12	82.93157294
13	81.76463099
14	80.68757941
15	79.71128313
16	78.78904354
17	77.89139392
18	77.0953167
19	76.43794092
20	75.70300268
21	75.07694205
22	74.51613967
23	74.01834531
24	73.53756391
25	73.08718589
26	72.72840671
27	72.33535938
28	71.97510288
29	71.67766603
30	71.38725633
31	71.13447872
32	70.89040164
33	70.66731992
34	70.46368988
35	70.25600807
36	70.09025786
37	69.93558452
38	69.78684687
39	69.63550179
40	69.5033587
41	69.39384427
42	69.28630565
43	69.1882539
44	69.11656469
45	69.02819848
46	68.95268137
47	68.88172223
48	68.81985639
49	68.76468884
50	68.6973026
51	68.63200412
52	68.57610146
53	68.52625674
54	68.47785167
55	68.43384783
56	68.38729699
57	68.34613079
58	68.2988307
59	68.26785629
60	68.24171954
61	68.21437277
62	68.17826758
63	68.15536083
64	68.13096656
65	68.09935716
66	68.07140246
67	68.04748515
68	68.02750796
69	68.00445596
70	67.97658533
71	67.94319968
72	67.92979441
73	67.90288931
74	67.89392836
75	67.87347354
76	67.85526905
77	67.83803606
78	67.82358874
79	67.80414886
80	67.78488324
81	67.75857151
82	67.74332548
83	67.72769326
84	67.71143203
85	67.69596621
86	67.68087701
87	67.67088321
88	67.65551459
89	67.63306232
90	67.61038298
91	67.59839484
92	67.58408626
93	67.5733834
94	67.55303576
95	67.5370118
96	67.52888647
97	67.50985229
98	67.48836477
99	67.47745466
100	67.47070845
101	67.45588245
102	67.44412097
103	67.42941845
104	67.42167045
105	67.410012
106	67.39665537
107	67.37960681
108	67.36645548
109	67.34994101
110	67.33690434
111	67.32192508
112	67.30680557
113	67.29784237
114	67.28294079
115	67.26926596
116	67.24529872
117	67.23688053
118	67.22765696
119	67.21871172
120	67.20346961
121	67.19107317
122	67.18005034
123	67.17254982
124	67.15903424
125	67.14526923
126	67.13365485
127	67.12261562
128	67.11163353
129	67.09087103
130	67.0710863
131	67.06366147
132	67.05520862
133	67.03950679
134	67.03159925
135	67.02319181
136	67.00873249
137	66.99085242
138	66.98391674
139	66.9732953
140	66.9557517
141	66.9361473
142	66.92965197
143	66.92028276
144	66.91531526
145	66.89991037
146	66.88657433
147	66.87293724
148	66.86626084
149	66.85569163
150	66.85098746
151	66.83713643
152	66.82132699
153	66.80684057
154	66.79043846
155	66.78219073
156	66.76679898
157	66.75897516
158	66.74869592
159	66.73958011
160	66.73306159
161	66.71439164
162	66.69926003
163	66.68695491
164	66.67056194
165	66.66193453
166	66.65447732
167	66.63632424
168	66.61823537
169	66.59345607
170	66.578376
171	66.56416189
172	66.54936667
173	66.53200378
174	66.51783486
175	66.50870507
176	66.50051113
177	66.48671035
178	66.45902588
179	66.44800936
180	66.44167805
181	66.42699069
182	66.41806309
183	66.40257322
184	66.38600378
185	66.37537451
186	66.36220225
187	66.35512607
188	66.3354268
189	66.32125385
190	66.30215943
191	66.28546833
192	66.26481386
193	66.25586677
194	66.2405951
195	66.23351175
196	66.22520914
197	66.20425613
198	66.19539122
199	66.16905937
200	66.16085262
201	66.14222225
202	66.13246134
203	66.12104604
204	66.10369622
205	66.08922202
206	66.0785454
207	66.06604008
208	66.05143437
209	66.03226462
210	66.01749541
211	66.00132015
212	65.98583718
213	65.97403525
214	65.96495975
215	65.94893721
216	65.93701573
217	65.91958777
218	65.90479814
219	65.89518129
220	65.8788389
221	65.85524551
222	65.84629831
223	65.8384256
224	65.83182396
225	65.82185398
226	65.81302187
227	65.79916847
228	65.7907452
229	65.78182313
230	65.77364381
231	65.75799301
232	65.74852632
233	65.73237937
234	65.71874238
235	65.70127343
236	65.69261872
237	65.68316823
238	65.66968471
239	65.64984436
240	65.63386559
241	65.61853454
242	65.61037411
243	65.59426672
244	65.58698046
245	65.57068526
246	65.56428119
247	65.55063627
248	65.54083981
249	65.53142838
250	65.51954155
251	65.50258236
252	65.49165181
253	65.48008385
254	65.46396092
255	65.44782334
256	65.4383194
257	65.43135266
