iter	Passed	Remaining
0	0	688
1	1	671
2	1	657
3	2	652
4	3	640
5	3	633
6	4	627
7	5	624
8	5	619
9	6	616
10	6	612
11	7	607
12	7	604
13	8	603
14	9	602
15	9	598
16	10	596
17	10	596
18	11	595
19	12	595
20	12	594
21	13	593
22	13	593
23	14	590
24	15	590
25	15	590
26	16	584
27	16	583
28	17	583
29	17	581
30	18	581
31	19	579
32	19	579
33	20	578
34	20	576
35	21	575
36	22	574
37	22	573
38	23	571
39	23	570
40	24	568
41	24	566
42	25	565
43	25	564
44	26	563
45	27	563
46	27	562
47	28	562
48	28	560
49	29	559
50	30	558
51	30	558
52	31	557
53	31	556
54	32	556
55	32	554
56	33	553
57	34	553
58	34	552
59	35	551
60	35	551
61	36	550
62	36	550
63	37	549
64	38	549
65	38	549
66	39	548
67	39	547
68	40	546
69	41	546
70	41	545
71	42	544
72	42	543
73	43	542
74	43	542
75	44	541
76	45	541
77	45	540
78	46	539
79	46	538
80	47	537
81	47	536
82	48	535
83	49	538
84	50	538
85	50	538
86	51	537
87	51	536
88	52	535
89	52	534
90	53	533
91	54	533
92	54	532
93	55	531
94	55	530
95	56	529
96	56	529
97	57	528
98	58	528
99	58	527
100	59	527
101	59	527
102	60	527
103	61	526
104	61	526
105	62	525
106	62	524
107	63	524
108	64	523
109	64	522
110	65	522
111	65	521
112	66	520
113	66	520
114	67	519
115	68	519
116	68	518
117	69	516
118	69	516
119	70	515
120	70	515
121	71	514
122	72	514
123	72	513
124	73	512
125	73	512
126	74	511
127	75	511
128	75	510
129	76	510
130	76	509
131	77	508
132	78	508
133	78	507
134	79	506
135	79	505
136	80	505
137	80	504
138	81	504
139	82	503
140	82	502
141	83	502
142	83	501
143	84	500
144	84	500
145	85	499
146	86	499
147	86	498
148	87	497
149	87	497
150	88	496
151	88	496
152	89	495
153	90	495
154	90	494
155	91	493
156	91	493
157	92	492
158	93	492
159	93	491
160	94	490
161	94	489
162	95	488
163	95	487
164	96	487
165	96	486
166	97	486
167	98	485
168	98	485
169	99	484
170	99	483
171	100	483
172	101	482
173	101	482
174	102	481
175	102	481
176	103	480
177	103	479
178	104	479
179	105	478
180	105	477
181	106	477
182	106	476
183	107	476
184	107	475
185	108	474
186	109	474
187	109	473
188	110	472
189	110	472
190	111	471
191	111	470
192	112	470
193	113	469
194	113	468
195	114	467
196	114	466
197	115	466
198	115	465
199	116	464
200	116	464
201	117	463
202	117	462
203	118	462
204	118	461
205	119	460
206	120	460
207	120	459
208	121	459
209	121	458
210	122	457
211	123	457
212	123	456
213	124	455
214	124	455
215	125	454
216	125	453
217	126	453
218	126	452
219	127	452
220	128	451
221	128	451
222	129	450
223	129	449
224	130	449
225	131	449
226	131	448
227	132	447
228	132	447
229	133	446
230	133	445
231	134	445
232	135	444
233	135	444
234	136	443
235	136	442
236	137	442
237	138	441
238	138	441
239	139	440
240	139	440
241	140	439
242	140	438
243	141	438
244	142	437
245	142	437
246	143	436
247	143	436
248	144	435
249	145	435
250	145	434
251	146	433
252	146	433
253	147	432
254	147	432
255	148	431
256	149	430
257	149	430
258	150	429
259	150	429
260	151	428
261	151	427
262	152	427
263	153	426
264	153	426
265	154	425
266	154	424
267	155	423
268	155	423
269	156	422
270	156	422
271	157	421
272	158	421
273	158	420
274	159	420
275	159	419
276	160	419
277	161	418
278	161	417
279	162	417
280	162	416
281	163	416
282	163	415
283	164	414
284	165	414
285	165	413
286	166	413
287	166	412
288	167	412
289	168	411
290	168	410
291	169	410
292	169	409
293	170	409
294	170	408
295	171	407
296	172	407
297	172	406
298	173	405
299	173	405
300	174	404
301	174	404
302	175	403
303	175	402
304	176	402
305	177	401
306	177	401
307	178	400
308	178	400
309	179	399
310	180	398
311	180	398
312	181	397
313	181	397
314	182	396
315	182	395
316	183	395
317	184	394
318	184	394
319	185	393
320	186	393
321	186	392
322	187	392
323	187	392
324	188	391
325	189	390
326	189	390
327	190	389
328	190	389
329	191	388
330	191	387
331	192	387
332	193	386
333	193	386
334	194	385
335	194	385
336	195	384
337	196	383
338	196	383
339	197	382
340	197	382
341	198	381
342	198	381
343	199	380
344	200	379
345	200	379
346	201	378
347	201	378
348	202	377
349	203	377
350	203	376
351	204	376
352	204	375
353	205	374
354	206	374
355	206	373
356	207	373
357	207	372
358	208	371
359	208	371
360	209	370
361	210	370
362	210	369
363	211	368
364	211	368
365	212	367
366	212	367
367	213	366
368	214	366
369	214	365
370	215	365
371	215	364
372	216	364
373	217	363
374	217	362
375	218	362
376	218	361
377	219	361
378	220	360
379	220	360
380	221	359
381	222	359
382	222	358
383	223	358
384	223	357
385	224	357
386	225	356
387	225	356
388	226	355
389	226	354
390	227	354
391	227	353
392	228	353
393	229	352
394	229	352
395	230	351
396	231	350
397	231	350
398	232	349
399	232	349
400	233	348
401	233	348
402	234	347
403	235	346
404	235	346
405	236	345
406	236	345
407	237	344
408	238	343
409	238	343
410	239	342
411	239	342
412	240	341
413	241	341
414	241	340
415	242	339
416	242	339
417	243	338
418	243	338
419	244	337
420	245	337
421	245	336
422	246	335
423	246	335
424	247	334
425	247	334
426	248	333
427	249	332
428	249	332
429	250	331
430	250	331
431	251	330
432	252	330
433	252	329
434	253	328
435	253	328
436	254	327
437	254	327
438	255	326
439	255	325
440	256	325
441	257	324
442	257	324
443	258	323
444	258	322
445	259	322
446	259	321
447	260	321
448	261	320
449	261	319
450	262	319
451	262	318
452	263	318
453	264	317
454	264	317
455	265	316
456	265	316
457	266	315
458	267	314
459	267	314
460	268	313
461	268	313
462	269	312
463	270	312
